# Players,Team Total,1st Team Ind.,2nd Team Ind.,3rd Team Ind.,4th Team Ind.
,,,,,
4,$15.00,$3.00,$1.00,$0.00,$0.00
5,$19.00,$3.00,$2.00,$0.00,$0.00
6,$22.00,$3.00,$2.00,$0.00,$0.00
7,$26.00,$4.00,$2.00,$0.00,$0.00
8,$30.00,$5.00,$2.00,$0.00,$0.00
9,$34.00,$5.00,$2.00,$1.00,$0.00
10,$37.00,$5.00,$3.00,$1.00,$0.00
11,$41.00,$5.00,$4.00,$1.00,$0.00
12,$45.00,$6.00,$4.00,$1.00,$0.00
13,$49.00,$6.00,$5.00,$1.00,$0.00
14,$52.00,$7.00,$5.00,$1.00,$0.00
15,$56.00,$7.00,$5.00,$2.00,$0.00
16,$60.00,$7.00,$5.00,$3.00,$0.00
17,$60.00,$7.00,$5.00,$3.00,$0.00
18,$60.00,$7.00,$5.00,$3.00,$0.00
19,$60.00,$7.00,$5.00,$3.00,$0.00
20,$60.00,$7.00,$5.00,$3.00,$0.00
21,$60.00,$7.00,$5.00,$3.00,$0.00
22,$64.00,$7.00,$5.00,$4.00,$0.00
23,$68.00,$7.00,$5.00,$4.00,$1.00
24,$72.00,$8.00,$5.00,$4.00,$1.00
25,$76.00,$8.00,$5.00,$4.00,$2.00
26,$80.00,$8.00,$6.00,$4.00,$2.00
27,$84.00,$9.00,$6.00,$4.00,$2.00
28,$88.00,$9.00,$6.00,$4.00,$3.00
29,$92.00,$9.00,$7.00,$4.00,$3.00
30,$96.00,$9.00,$7.00,$5.00,$3.00
31,$100.00,$10.00,$7.00,$5.00,$3.00
32,$104.00,$10.00,$8.00,$5.00,$3.00
33,$108.00,$10.00,$8.00,$6.00,$3.00i
34,$112.00,$10.00,$8.00,$6.00,$4.00
35,$116.00,$10.00,$8.00,$6.00,$5.00
36,$120.00,$10.00,$8.00,$7.00,$5.00
