# of Players,Total $,Total Individual,1st,2nd,3rd,4th,5th,6th
4,$20.00,$5.00,$3.00,$2.00,$0.00,$0.00,$0.00,$0.00
5,$25.00,$6.00,$3.00,$2.00,$1.00,$0.00,$0.00,$0.00
6,$30.00,$8.00,$4.00,$3.00,$1.00,$0.00,$0.00,$0.00
7,$35.00,$9.00,$5.00,$3.00,$1.00,$0.00,$0.00,$0.00
8,$40.00,$10.00,$5.00,$3.00,$2.00,$0.00,$0.00,$0.00
9,$45.00,$11.00,$6.00,$3.00,$2.00,$0.00,$0.00,$0.00
10,$50.00,$13.00,$7.00,$4.00,$2.00,$0.00,$0.00,$0.00
11,$55.00,$14.00,$7.00,$4.00,$3.00,$0.00,$0.00,$0.00
12,$60.00,$15.00,$8.00,$5.00,$3.00,$0.00,$0.00,$0.00
13,$65.00,$16.00,$8.00,$6.00,$2.00,$0.00,$0.00,$0.00
14,$70.00,$18.00,$9.00,$6.00,$3.00,$0.00,$0.00,$0.00
15,$75.00,$19.00,$9.00,$6.00,$4.00,$0.00,$0.00,$0.00
16,$80.00,$20.00,$10.00,$6.00,$4.00,$0.00,$0.00,$0.00
17,$85.00,$25.00,$12.00,$8.00,$5.00,$0.00,$0.00,$0.00
18,$90.00,$30.00,$12.00,$8.00,$6.00,$4.00,$0.00,$0.00
19,$95.00,$35.00,$13.00,$9.00,$7.00,$4.00,$2.00,$0.00
20,$100.00,$40.00,$13.00,$11.00,$8.00,$5.00,$3.00,$0.00
21,$105.00,$45.00,$14.00,$11.00,$9.00,$6.00,$3.00,$2.00
22,$110.00,$46.00,$15.00,$11.00,$9.00,$6.00,$3.00,$2.00
23,$115.00,$47.00,$15.00,$11.00,$9.00,$6.00,$4.00,$2.00
24,$120.00,$48.00,$15.00,$11.00,$9.00,$6.00,$5.00,$2.00
25,$125.00,$49.00,$15.00,$12.00,$9.00,$6.00,$5.00,$2.00
26,$130.00,$50.00,$15.00,$12.00,$9.00,$6.00,$5.00,$3.00
27,$135.00,$51.00,$15.00,$12.00,$10.00,$6.00,$5.00,$3.00
28,$140.00,$52.00,$15.00,$13.00,$10.00,$6.00,$5.00,$3.00
29,$145.00,$53.00,$15.00,$13.00,$10.00,$7.00,$5.00,$3.00
30,$150.00,$54.00,$15.00,$13.00,$10.00,$8.00,$5.00,$3.00
31,$155.00,$55.00,$15.00,$13.00,$10.00,$8.00,$6.00,$3.00
32,$160.00,$56.00,$15.00,$13.00,$11.00,$8.00,$6.00,$3.00
33,$165.00,$57.00,$15.00,$13.00,$11.00,$9.00,$6.00,$3.00
34,$170.00,$58.00,$15.00,$13.00,$11.00,$9.00,$6.00,$4.00
35,$175.00,$59.00,$15.00,$13.00,$11.00,$9.00,$6.00,$5.00
36,$180.00,$60.00,$15.00,$13.00,$11.00,$9.00,$7.00,$5.00
