id;name;phone;holes;tees;slope;travel_time;address;city;state;zip;website;created_at;updated_at
1;The Hideout;570-630-3736;9;Gold;107;;;;;;;2025-10-28T12:40:19.224696;2025-11-05T14:52:21.645450
2;Blue Shamrock;610-826-2504;18;Gold;116;1:25;;;;;;2025-10-28T14:10:51.640310;2025-11-05T14:50:04.982133
3;Bethlehem Golf Club;610-691-9393;18;Green;122;;;;;;;2025-11-05T13:56:29.020356;2025-11-05T14:51:18.084727
4;Buck Hill Falls;570-595-7730;18;Gold;124;;;;;;;2025-11-05T13:58:11.645423;2025-11-05T13:58:11.645597
5;Blue-Ridge;570-868-4653;18;Green;140;;;;;;;2025-11-05T14:03:00.714146;2025-11-05T14:04:50.142759
6;Ridge-Trail;570-868-4653;18;Green-White;146;;;;;;;2025-11-05T14:04:38.571024;2025-11-05T14:04:38.571232
7;Blue-Trail;570-868-4653;18;Green-White;144;;;;;;;2025-11-05T14:06:08.245642;2025-11-05T14:06:08.245895
8;Conklin Players Club;607-775-3042;18;Gold;109;;;;;;;2025-11-05T14:08:07.602961;2025-11-05T14:08:07.603161
9;Elmhurst Country Club;570-842-7011;18;Gold;116;;;;;;;2025-11-05T14:10:00.020825;2025-11-05T14:10:00.021116
10;Great Bear;570-223-2000;18;White;133;;;;;;;2025-11-05T14:12:31.711042;2025-11-05T14:12:31.711285
11;Green Pond Country Club;610-691-9453;18;Gold;121;;;;;;;2025-11-05T14:14:36.033643;2025-11-05T14:14:36.033850
12;Jack Frost;866-268-5503;18;2nd Forward;119;;;;;;;2025-11-05T14:16:19.305533;2025-11-05T14:16:19.305741
13;Mount Airy Resort;877-682-4791;18;Gold;130;;;;;;;2025-11-05T14:21:14.949251;2025-11-05T14:21:14.949468
14;Panorama Golf Course;570-222-3525;18;White;113;;;;;;;2025-11-05T14:22:49.258532;2025-11-05T14:22:49.258714
15;Pocono Hills Golf Course;800-335-1113;18;White;123;;;;;;;2025-11-05T14:24:22.050128;2025-11-05T14:24:22.050332
16;Pocono Farms Country Club;570-225-0112;18;White;123;;;;;;;2025-11-05T14:26:56.393620;2025-11-05T14:26:56.393927
17;Pine Hills Country Club;570-562-0138;18;Gold;113;;;;;;;2025-11-05T14:29:07.027160;2025-11-05T14:29:07.027338
18;Pocono Manor Golf;570-839-1389;18;Green;105;;;;;;;2025-11-05T14:30:29.913005;2025-11-05T14:30:29.913179
19;Paupack Hills Golf;570-857-0251;18;Red Seniors;124;;;;;;;2025-11-05T14:32:09.181404;2025-11-05T14:32:09.181592
20;Rock Creek Golf Course;570-222-2500;18;Blue;118;;;;;;;2025-11-05T14:34:05.648820;2025-11-05T14:34:05.649012
21;Stonehedge Golf;570-836-5108;18;Gold;118;;;;;;;2025-11-05T14:35:02.716445;2025-11-05T14:35:02.716675
22;Skytop Lodge;570-595-8910;18;Men's Red;120;;;;;;;2025-11-05T14:36:19.574145;2025-11-05T14:36:19.574356
23;Sleepy Hollow Golf;570-254-4653;18;White;113;;;;;;;2025-11-05T14:42:37.605761;2025-11-05T14:42:37.605946
24;Shadowbrook Golf Resort;570-836-5417;18;White;120;;;;;;;2025-11-05T14:44:15.967087;2025-11-05T14:44:15.967258
25;Tarry Brae Golf Course;845-434-8810;18;Gray;123;;;;;;;2025-11-05T14:46:27.295272;2025-11-05T14:46:27.295466
26;SouthMoore Golf Course;610-837-7200;18;Gold;115;;;;;;;2025-11-05T14:47:44.194414;2025-11-05T14:47:44.194705
27;Wilkes-Barre Golf Club;570-472-3590;18;Gold;115;;;;;;;2025-11-05T14:48:48.743360;2025-11-05T14:48:48.743571
